========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
When It Rains It Pours                   | 50 Cent                        | Hip-Hop/Rap          | 2005  
Hanglo                                   | 870glizzy, 1nonly              | Aesthetic Rap        | 2020  
Ao Vivo                                  | A Boa Parte                    | Música               | 2023  
Drowning (feat. Kodak Black)             | A Boogie Wit da Hoodie, Koda   | Trap/Rap             | 2017  
Plain Jane                               | A$AP Ferg                      | Música               | 2017  
Dreams, Fairytales, Fantasies (feat. B   | A$AP Ferg, Brent Faiyaz, Sal   | Rap                  | 2019  
Everyday                                 | A$AP Rocky                     | Música               | 2015  
Praise The Lord (Da Shine)               | A$AP Rocky                     | Música               | 2018  
Everyday (feat. Rod Stewart, Miguel &    | A$AP Rocky, Rod Stewart, Mig   | Pop/Rock             | 2015  
Back In Black                            | AC/DC                          | Rock                 | 1980  
Highway to Hell                          | AC/DC                          | Rock                 | 1979  
T.N.T.                                   | AC/DC                          | Rock                 | 1975  
Thunderstruck                            | AC/DC                          | Rock                 | 1990  
Híbrido                                  | AKUNA, El Kamel                | Sertanejo            | -     
Trevo (Tu)                               | ANAVITÓRIA, TIAGO IORC         | MPB/Pop              | 2016  
I'm Good Luv, Enjoy.                     | Aaron May                      | Sertanejo            | 2018  
Let Go                                   | Aaron May                      | Pop                  | 2024  
Saudosa Maloca                           | Adoniran Barbosa               | Samba                | 1999  
Deixa Eu Te Amar                         | Agepê                          | Sertanejo            | 1984  
Don't Matter                             | Akon                           | R&B/Pop              | 2007  
Don't Matter                             | Akon                           | R&B/Pop              | 2007  
Lonely                                   | Akon                           | R&B/Pop              | 2004  
Lonely                                   | Akon                           | R&B/Pop              | 2004  
Smack That                               | Akon                           | R&B/Pop              | 2007  
I Wanna Love You                         | Akon, Snoop Dogg               | R&B/Pop              | 2006  
Faded                                    | Alan Walker                    | Eletrônica           | 2015  
All Falls Down (feat. Juliander)         | Alan Walker, , ,               | Eletrônica           | 2022  
Alone, Pt. II                            | Alan Walker, Ava Max           | Eletrônica           | 2019  
Heading Home                             | Alan Walker, Ruben             | Eletrônica           | 2020  
La Belle De Jour                         | Alceu Valença                  | Forró/MPB            | 2024  
Você Me Vira A Cabeça (Me Tira Do Séri   | Alcione                        | MPB                  | 2001  
Amor Falso                               | Aldair Playboy                 | Sertanejo            | 2018  
Let Me Down Slowly                       | Alec Benjamin                  | Pop/Folk             | 2018  
ON                                       | Alee, Dallass                  | Sertanejo            | 2025  
MEU MUNDO                                | Alee, NADAMAL, peppnx          | Sertanejo            | 2022  
PARTY                                    | Alee, Qualywav1, saboya, Ane   | Sertanejo            | -     
Carry You Home                           | Alex Warren                    | Pop                  | 2024  
Só Pra Ela (Ao Vivo)                     | Alexandre Pires, Ferrugem      | Sertanejo            | 2023  
Nutshell                                 | Alice In Chains                | Rock                 | 1994  
Man in the Box                           | Alice in Chains                | Rock                 | 1991  
Ressuscita-me                            | Aline Barros                   | Gospel               | 2011  
Baianá (feat. Barbatuques & Foreign)     | Alok, Barbatuques,             | Eletrônica           | 2018  
Fuego                                    | Alok, Bhaskar                  | Eletrônica           | 2017  
Hear Me Now                              | Alok, Bruno Martini,           | Eletrônica           | 2016  
Never Let Me Go                          | Alok, Bruno Martini,           | Eletrônica           | 2017  
On & On                                  | Alok, Dynoro                   | Eletrônica           | 2019  
Don't Say Goodbye (feat. Tove Lo)        | Alok, Ilkay Sencan,            | Eletrônica           | 2020  
Favela                                   | Alok, Ina Wroldsen             | Eletrônica           | 2018  
My Life Is Going On / La Casa de Papel   | Alok, Jetlag Music, Cecilia    | Eletrônica           | -     
All I Want                               | Alok, Liu, Stonefox            | Eletrônica           | 2021  
Villamix (Suave)                         | Alok, Matheus & Kauan          | Eletrônica           | 2021  
Big Jet Plane                            | Alok, Mathieu Koss             | Eletrônica           | 2017  
Party On My Own                          | Alok, Vintage Culture,         | Eletrônica           | 2020  
Hear Me Now                              | Alok, Zeeba, Bruno Martini     | Eletrônica           | 2016  
Ocean                                    | Alok, Zeeba, iRO               | Eletrônica           | 2018  
Ocean                                    | Alok, Zeeba, iRO               | Eletrônica           | 2018  
Me & You (feat. IRO)                     | Alok, iRO                      | Eletrônica           | 2016  
Best Day Of My Life                      | American Authors               | Indie Pop            | 2013  
Trem-Bala - Acústico                     | Ana Vilela, Luan Santana       | Sertanejo            | 2017  
Anna Júlia                               | AnaVitória                     | MPB/Pop              | 2017  
Marca de Batom - Ao Vivo                 | André Luiz & Gustavo,          | Sertanejo            | 2025  
Cemitério                                | Anitta                         | Sertanejo            | -     
Indecente                                | Anitta                         | Pop/Funk             | 2018  
Hope There's Someone                     | Antony and the Johnsons        | Música               | 2005  
Luz                                      | Aquarela                       | Sertanejo            | 2021  
Sucker (from the series Arcane League    | Arcane, Marcus King            | Música               | 2024  
Blood Sweat & Tears (from the series A   | Arcane, Sheryl Lee Ralph       | Pop/Rock Eletrônic   | 2024  
Ma Meilleure Ennemie (from the series    | Arcane, Stromae,               | Electro/Pop          | 2024  
Do I Wanna Know?                         | Arctic Monkeys                 | Rock                 | 2013  
A Droga do Amor                          | Ari, Felipe Play, Dom R        | Sertanejo            | 2015  
Moonlight                                | Ariana Grande                  | Pop                  | 2016  
Sessão de Cria 2: Beroba Freestyle       | Arthurzim, WIU,                | Trap                 | 2022  
Like a Stone                             | Audioslave                     | Rock                 | 2002  
Hey Brother                              | Avicii                         | Eletrônica           | 2013  
The Nights                               | Avicii                         | Eletrônica           | 2014  
The Nights                               | Avicii                         | Eletrônica           | 2014  
Waiting For Love                         | Avicii                         | Eletrônica           | 2015  
Wake Me Up                               | Avicii                         | Eletrônica           | 2013  
Wake Me Up                               | Avicii                         | Eletrônica           | 2013  
Wake Me Up - Radio Edit                  | Avicii                         | Eletrônica           | 2013  
Lonely Together (feat. Rita Ora)         | Avicii, Rita Ora               | Eletrônica           | 2024  
Without You (feat. Sandro Cavazza)       | Avicii, Sandro Cavazza         | Eletrônica           | 2024  
Vazou um Áudio - Ao Vivo No Casa Filtr   | Avine Vinny, Mari Fernandez    | Piseiro              | 2021  
Maturidade (feat. Matheus & Kauan)       | Avine Vinny, Matheus & Kauan   | Sertanejo            | 2021  
Só Deu Você (feat. Xand Avião)           | Avine Vinny, Xand Avião        | Forró/Piseiro        | 2019  
Aquele Combo                             | Avine Vinny, Xand Avião,       | Forró/Piseiro        | 2022  
Banca de Flores - Ao Vivo                | Aviões do Forró                | Forró/Piseiro        | 2015  
Fiquei Sabendo - Ao Vivo                 | Aviões do Forró                | Forró/Piseiro        | 2015  
Naquele Mesmo Bar - Ao Vivo              | Aviões do Forró                | Forró/Piseiro        | 2017  
Reza Aí - Ao Vivo                        | Aviões do Forró                | Forró/Piseiro        | 2017  
Tô Limpando Você Da Minha Vida - Ao Vi   | Aviões do Forró                | Forró/Piseiro        | 2016  
Eu e a Torcida do Brasil                 | Aviões do Forró, Wesley Safa   | Forró/Piseiro        | 2018  
More Than You Know                       | Axwell /\ Ingrosso             | House/Electronic     | 2017  
More Than You Know                       | Axwell /\ Ingrosso, ,          | Pop                  | 2017  
Vois sur ton chemin - Techno Mix         | BENNETT                        | Eletrônica/Techno    | 2023  
Marília Mendonça                         | BIN, Mainstreet, Mãolee        | Sertanejo            | 2020  
Vagalumes                                | Banda Pollo                    | Sertanejo            | 2012  
Pompeii                                  | Bastille                       | Pop                  | 2013  
I Got You                                | Bebe Rexha                     | Pop                  | 2016  
Meant to Be                              | Bebe Rexha                     | Música               | 2017  
Meant to Be (feat. Florida Georgia Lin   | Bebe Rexha, Florida Georgia    | Pop                  | 2017  
Noites Traiçoeiras (feat. Padre Marcel   | Belo, Padre Marcelo Rossi      | Católica             | 2004  
Noites Traiçoeiras (feat. Padre Marcel   | Belo, Padre Marcelo Rossi      | Católica             | 2004  
Die With a Smile (Acoustic Piano)        | Ben Woodward                   | Pop                  | 2024  
Beautiful Things                         | Benson Boone                   | Pop                  | 2024  
Irreplaceable                            | Beyoncé                        | Pop                  | 2006  
Savana                                   | BigDK                          | Sertanejo            | 2022  
White Christmas                          | Bing Crosby                    | Música               | 1945  
I Gotta Feeling                          | Black Eyed Peas                | Hip-Hop/Pop          | 2009  
I Gotta Feeling                          | Black Eyed Peas                | Hip-Hop/Pop          | 2009  
Diamond Eyes                             | Bloody Beetroots               | Música               | 2020  
Hate Me                                  | Blue October                   | Música               | 2006  
Hooked On A Feeling                      | Blue Swede, Björn Skifs        | Rock/Pop             | 1973  
Song 2 - 2012 Remaster                   | Blur                           | Britpop/Alternativ   | 1997  
Is This Love                             | Bob Marley                     | Música               | 1984  
Blood's Thicker Than Water               | Bobby Bazini                   | Pop                  | 2022  
C'est La Vie                             | Bobby Bazini                   | Pop                  | 2016  
It's My Life                             | Bon Jovi                       | Rock                 | 2000  
Livin' On A Prayer                       | Bon Jovi                       | Rock                 | 1986  
You Give Love A Bad Name                 | Bon Jovi                       | Rock                 | 1986  
You Give Love A Bad Name                 | Bon Jovi                       | Rock/Pop             | 1986  
Avisa Minha Mãe                          | Borges, WIU, TkN, , ,          | Trap                 | 2021  
Migraine                                 | BoyWithUke                     | Indie Pop            | 2023  
Toxic                                    | BoyWithUke                     | Folk/Pop             | 2021  
Understand                               | BoyWithUke                     | Pop/Rock Acústico    | 2022  
IDGAF (with blackbear)                   | BoyWithUke,                    | Pop/Rock Acústico    | 2022  
Titanium                                 | Boyce Avenue                   | Pop/Rock             | 2012  
Closer                                   | Boyce Avenue, Sarah Hyland     | Pop                  | 2016  
BOLANDO UM PLANO                         | Brandão85                      | Trap                 | 2023  
DE ONDE EU VENHO                         | Brandão85                      | Trap                 | 2022  
JOGO ELA NO JATINHO                      | Brandão85                      | Trap                 | 2023  
JUICY                                    | Brandão85                      | Trap                 | 2023  
MAZE BANK                                | Brandão85                      | Trap                 | 2023  
MINHA MENTE                              | Brandão85                      | Trap                 | 2022  
NOITE PERFEITA                           | Brandão85                      | Trap                 | 2023  
Nunca Duvide de um Mano                  | Brandão85                      | Trap                 | 2023  
PRIMAVERA                                | Brandão85                      | Trap                 | 2023  
RAGE                                     | Brandão85                      | Trap                 | 2023  
SONHOS                                   | Brandão85                      | Trap                 | 2023  
TRAPLIFE                                 | Brandão85                      | Trap                 | 2023  
BASEADO IGNORANTE                        | Brandão85, BNYX®               | Trap                 | 2023  
TUDO BEM                                 | Brandão85, BNYX®               | Trap                 | 2023  
OH MY BABY (feat. Che Ecru)              | Brandão85, Che Ecru            | Trap                 | 2023  
ACIMA DAS NUVENS                         | Brandão85, Desiree             | Trap                 | 2023  
BÁSICO                                   | Brandão85, Jimyy               | Trap                 | 2023  
100% MOLHO                               | Brandão85, Jovem Dex, Levian   | Trap                 | 2023  
MIGOS                                    | Brandão85, Jé                  | Trap                 | 2023  
JAPONÊS                                  | Brandão85, Matuê               | Trap                 | 2025  
Breath                                   | Breaking Benjamin              | Rock                 | 2006  
I Will Not Bow                           | Breaking Benjamin              | Rock                 | 2009  
So Cold - Remix                          | Breaking Benjamin              | Rock                 | 2004  
So Cold - Remix                          | Breaking Benjamin              | Rock                 | 2004  
The Diary of Jane - Single Version       | Breaking Benjamin              | Rock                 | 2006  
Mentirinha                               | Breno & Caio Cesar,            | Sertanejo            | 2020  
Can You Feel My Heart                    | Bring Me The Horizon           | Metalcore            | 2020  
Último Beijo                             | Bruno & Marrone, Wesley Safa   | Forró/Piseiro        | 2012  
Grenade - Acoustic                       | Bruno Mars                     | Pop                  | 2011  
Talking to the Moon - Acoustic Piano     | Bruno Mars                     | Pop                  | 2010  
Talking to the Moon - Acoustic Piano     | Bruno Mars                     | Pop                  | 2010  
That's What I Like                       | Bruno Mars                     | Pop                  | 2016  
The Lazy Song                            | Bruno Mars                     | Pop                  | 2010  
The Lazy Song                            | Bruno Mars                     | Pop                  | 2010  
Sun Goes Down                            | Bruno Martini, Isadora         | Sertanejo            | 2017  
Road                                     | Bruno Martini, Timbaland,      | Pop                  | 2017  
Saturno                                  | Burn-O, Doode, Teto            | Trap                 | 2021  
Comedown                                 | Bush                           | Rock                 | 1994  
Glycerine                                | Bush                           | Rock                 | 1994  
I Know What You Want                     | Busta Rhymes                   | Música               | 2002  
Motivation                               | C. Henry                       | Sertanejo            | 2019  
Whoopty                                  | CJ                             | Música               | 2021  
Slow Me Down (feat. Skinny Days)         | CLMD, Skinny Days              | Electronic/Dance     | 2017  
Terapia                                  | Cacife Clandestino, Matuê      | Trap                 | 2018  
Elena Siegman, Kevin Sherwood            | Call of Duty: Black Ops – Zo   | Electronic/Soundtr   | 2011  
El Anciano y el Niño                     | Calle 13                       | Música               | 2020  
Summer                                   | Calvin Harris                  | Eletrônica           | 2014  
One Kiss (with Dua Lipa)                 | Calvin Harris, Dua Lipa        | Pop                  | 2018  
We Found Love (feat. Rihanna)            | Calvin Harris, Rihanna         | Pop                  | 2011  
Havana - Remix                           | Camila Cabello, Daddy Yankee   | Pop                  | 2017  
Vaquejada do Amor                        | Caninana, João Gomes           | Forró/Piseiro        | 2021  
À Sua Maneira (De Música Ligera) - Ao    | Capital Inicial                | Rock                 | 2008  
Why We Lose                              | Cartoon, Coleman Trapp         | Trap                 | 2015  
A Casa É Sua - Ao Vivo                   | Casa Worship, Julliany Souza   | Gospel               | 2023  
Yeshua                                   | Casa Worship, Julliany Souza   | Gospel               | 2020  
Sunshine                                 | Cat Dealers, LOthief,          | Eletrônica           | 2017  
Gravity (feat. Magga & Evokings)         | Cat Dealers, Magga,            | Eletrônica           | 2017  
Saga de um Vaqueiro                      | Catuaba Com Amendoim           | Sertanejo            | 2001  
When You Love Someone                    | Celine Dion                    | Música               | 1996  
Gen Z Luv                                | Central Cee                    | Rap                  | 2025  
CRG (feat. Dave)                         | Central Cee, Dave              | Rap                  | 2025  
Truth In The Lies (feat. Lil Durk)       | Central Cee, Lil Durk          | Rap                  | 2025  
Vem                                      | Chapar                         | Sertanejo            | 2020  
Mamba Negra                              | Chapeleiro                     | Sertanejo/Forró      | 2024  
Dias De Luta, Dias De Gloria             | Charlie Brown Jr.              | Rock                 | 2005  
Ela Vai Voltar (Todos Os Defeitos De U   | Charlie Brown Jr.              | Rock                 | 1998  
Só Os Loucos Sabem                       | Charlie Brown Jr.              | Rock                 | 2010  
Attention                                | Charlie Puth                   | Pop                  | 2017  
Attention - Acoustic                     | Charlie Puth                   | Pop                  | 2017  
How Long                                 | Charlie Puth                   | Pop                  | 2017  
We Don't Talk Anymore (feat. Selena Go   | Charlie Puth, Selena Gomez     | Pop                  | 2016  
Party Animal                             | Charly Black, Luis Fonsi       | Dancehall            | 2017  
Summer Love - Radio Edit                 | Chemical Surf, Jake Reese      | Electronic/Dance     | 2017  
Comfortable Liar                         | Chevelle                       | Rock                 | 2002  
Send the Pain Below                      | Chevelle                       | Música               | 2002  
Whole                                    | Chime, Adam Tell               | Pop                  | 2017  
Gimme That                               | Chris Brown                    | R&B/Pop              | 2005  
Kiss Kiss                                | Chris Brown                    | Música               | 2007  
Kiss Kiss (feat. T-Pain)                 | Chris Brown, T-Pain            | Pop                  | 2007  
Wicked Game                              | Chris Isaak                    | Rock Alternativo/B   | 1989  
Tennessee Whiskey                        | Chris Stapleton                | 音乐                   | 2015  
Addicted                                 | Christina Aguilera             | Música               | 2002  
a thousand years                         | Christina Perri                | Pop                  | 2011  
Nós dois                                 | Class A                        | Hip-Hop/Rap          | 2017  
Claudinha Bagunceira (Ao Vivo)           | Claudia Leitte                 | Axé/Pop              | 2014  
Dekolê (Dekolê) [Ao Vivo]                | Claudia Leitte                 | Axé/Pop              | 2014  
Tarraxinha (feat. Luiz Caldas) [Ao Viv   | Claudia Leitte, Luiz Caldas    | Axé/Pop              | 2014  
Pancadão Frenético (feat. Wesley Safad   | Claudia Leitte, Wesley Safad   | Axé/Pop              | 2014  
Largadinho (feat. Zumba Fitness) [Ao V   | Claudia Leitte, Zumba Fitnes   | Axé/Pop              | 2014  
Rockabye (feat. Sean Paul & Anne-Marie   | Clean Bandit, Anne-Marie,      | Pop                  | 2016  
Rather Be (feat. Jess Glynne)            | Clean Bandit, Jess Glynne      | Pop                  | 2014  
Cogulândia                               | Cogulândia                     | Sertanejo            | 2022  
Cold                                     | Cold                           | Música               | 2015  
A Sky Full of Stars                      | Coldplay                       | Pop                  | 2014  
A Sky Full of Stars                      | Coldplay                       | Pop                  | 2014  
A Sky Full of Stars                      | Coldplay                       | Pop                  | 2014  
Adventure of a Lifetime                  | Coldplay                       | Pop                  | 2015  
Adventure of a Lifetime                  | Coldplay                       | Pop                  | 2015  
Charlie Brown                            | Coldplay                       | Pop                  | 2011  
Clocks                                   | Coldplay                       | Pop                  | 2002  
Hymn for the Weekend                     | Coldplay                       | Pop                  | 2015  
Magic                                    | Coldplay                       | Pop                  | 2014  
Paradise                                 | Coldplay                       | Pop                  | 2011  
Paradise                                 | Coldplay                       | Pop                  | 2011  
Sparks                                   | Coldplay                       | Pop                  | 2000  
The Scientist                            | Coldplay                       | Pop                  | 2002  
The Scientist                            | Coldplay                       | Pop                  | 2002  
Viva La Vida                             | Coldplay                       | Pop                  | 2008  
Yellow                                   | Coldplay                       | Pop                  | 2000  
Hymn for the Weekend - Seeb Remix        | Coldplay, Seeb                 | Pop                  | 2016  
Something Just Like This - Tokyo Remix   | Coldplay, The Chainsmokers     | Pop                  | 2017  
Spinnin                                  | Connor Price, Bens             | Pop                  | 2022  
Gangsta's Paradise                       | Coolio                         | Hip-Hop/Rap          | 1995  
Accidentally In Love - From "Shrek 2"    | Counting Crows                 | Rock                 | 2004  
Bem Melhor Assim - Ao Vivo               | Cristiano Araújo               | Sertanejo            | 2014  
Blackout - Ao Vivo                       | Cristiano Araújo               | Sertanejo            | 2014  
Blackout - Ao Vivo                       | Cristiano Araújo               | Sertanejo            | 2014  
Casei de Novo - Ao Vivo                  | Cristiano Araújo               | Sertanejo            | 2014  
Caso Indefinido - Ao Vivo                | Cristiano Araújo               | Sertanejo            | 2014  
Caso Indefinido - Ao Vivo                | Cristiano Araújo               | Sertanejo            | 2014  
Cê Que Sabe - Ao Vivo                    | Cristiano Araújo               | Sertanejo            | 2014  
Cê Que Sabe - Ao Vivo                    | Cristiano Araújo               | Sertanejo            | 2014  
Férias de Julho - Ao Vivo                | Cristiano Araújo               | Sertanejo            | 2014  
Férias de Julho - Ao Vivo                | Cristiano Araújo               | Sertanejo            | 2014  
Hoje Eu To Terrível - Ao Vivo            | Cristiano Araújo               | Sertanejo            | 2014  
Maus Bocados - Ao Vivo                   | Cristiano Araújo               | Sertanejo            | 2014  
Maus Bocados - Ao Vivo                   | Cristiano Araújo               | Sertanejo            | 2014  
Obedece Ou Fica Só - Ao Vivo             | Cristiano Araújo               | Sertanejo            | 2014  
Paraíso Particular - Ao Vivo             | Cristiano Araújo               | Sertanejo            | 2014  
Perdeu o Cara Errado - Ao Vivo           | Cristiano Araújo               | Sertanejo            | 2014  
Perdeu o Cara Errado - Ao Vivo           | Cristiano Araújo               | Sertanejo            | 2014  
Se Beber Curasse - Ao Vivo               | Cristiano Araújo               | Sertanejo            | 2014  
Sofrência - Ao Vivo                      | Cristiano Araújo               | Sertanejo            | 2014  
É Com Ela Que Eu Estou - Ao Vivo         | Cristiano Araújo               | Sertanejo            | 2014  
É Com Ela Que Eu Estou - Ao Vivo         | Cristiano Araújo               | Sertanejo            | 2014  
Assim Você Mata O Papai - Ao Vivo        | Cristiano Araújo, Fernando &   | Trap                 | 2012  
Assim Você Mata O Papai - Ao Vivo        | Cristiano Araújo, Fernando &   | Trap                 | 2012  
Sabe Me Prender - Ao Vivo                | Cristiano Araújo, Ian Thomas   | Sertanejo            | 2014  
Agora é Tudo Meu                         | DENNIS, MC Kevinho             | Funk                 | 2018  
Vai Rebolar                              | DENNIS, MC Nandinho,           | Sertanejo            | 2016  
Insanamente Insana - Ao Vivo             | DENNIS, NATTAN                 | Forró/Piseiro        | 2022  
MONTAGEM CORAL (feat. Mc Cyclope)        | DJ Holanda, Mc Gw, ,           | Funk/Rap             | 2023  
I'm the One                              | DJ Khaled                      | Música               | 2017  
No Pressure                              | DJ Khaled                      | Música               | 2016  
POPSTAR                                  | DJ Khaled                      | Música               | 2020  
GREECE (feat. Drake)                     | DJ Khaled, Drake               | Hip-Hop/Rap          | 2020  
I'm the One                              | DJ Khaled, Justin Bieber, ,    | Pop                  | 2017  
I'm the One (feat. Justin Bieber, Quav   | DJ Khaled, Justin Bieber, ,    | Pop                  | 2017  
Six Days - Remix                         | DJ Shadow, Mos Def             | Hip Hop              | 2003  
Close Eyes                               | DVRST                          | Eletrônica/Pop       | 2024  
BOP                                      | DaBaby                         | Trap                 | 2019  
ROCKSTAR                                 | DaBaby                         | Música               | 2020  
Aquarela Luz                             | Dada Yute, Matuê,              | Trap                 | 2021  
Wagon Wheel                              | Darius Rucker                  | Country              | 2013  
Sprinter                                 | Dave, Central Cee              | Rap                  | 2025  
Deus de Promessas - Ao Vivo              | Davi Sacer, Simone             | Sertanejo            | 2018  
2U (feat. Justin Bieber)                 | David Guetta, Justin Bieber    | Pop                  | 2017  
Like I Do                                | David Guetta, Martin Garrix,   | Eletrônica           | -     
Flames                                   | David Guetta, Sia              | Eletrônica           | 2018  
Let You Down                             | Dawin                          | Música               | 2014  
Cherry Waves                             | Deftones                       | Alternative Metal,   | 2006  
Entombed                                 | Deftones                       | Alternative Metal,   | 2012  
Needles and Pins                         | Deftones                       | Alternative Metal,   | 1977  
Risk                                     | Deftones                       | Alternative Metal,   | 2010  
Rosemary                                 | Deftones                       | Alternative Metal,   | 2012  
Na Ponta Ela Fica                        | Delano                         | Sertanejo            | 2015  
Remexe mexe                              | Delano                         | Sertanejo            | 2016  
Confident                                | Demi Lovato                    | Música               | 2015  
Live Like Tonight - Original Mix         | Derx, Art Alive, Robbie Rose   | Electronic/Dance     | 2017  
Panda                                    | Desiigner                      | Música               | 2016  
Antes                                    | Dicio                          | Sertanejo            | 2019  
A Sina Da Copa                           | Diego Guion                    | Sertanejo            | 2025  
Love You Anymore                         | Dillon Carmichael              | Música               | 2025  
So Far Away                              | Dire Straits                   | Música               | 1985  
Oblivion                                 | Dirty Palm                     | Electronic/Pop       | 2017  
Freakshow                                | Dirty Palm, LexBlaze           | Trap                 | 2018  
Down with the Sickness                   | Disturbed                      | Rock                 | 2000  
Stricken                                 | Disturbed                      | Rock                 | 2005  
Falling                                  | Diviners, Harley Bird          | Pop                  | 2018  
A Internet É Toxica                      | Dj Lc, DJ JOAO DA INESTAN, ,   | Música Eletrônica/   | 2023  
Na Linha do Tempo                        | Djavan                         | Música               | -     
Bitch Please                             | Doja Cat                       | Música               | 1997  
Pardon Me                                | Doja Cat                       | Música               | 2021  
Beautiful Day                            | Donavon Frankenreiter          | Pop/Rock             | 2019  
Beautiful Day                            | Donavon Frankenreiter          | Rock                 | 2019  
Groupies                                 | Doode, Teto, Matuê             | Trap                 | 2021  
Groupies                                 | Doode, Teto, Matuê             | Trap                 | 2021  
Destá - Ao Vivo                          | Dorgival Dantas                | Sertanejo            | 2014  
Jeito de Ser - Ao Vivo                   | Dorgival Dantas, Gabriel Din   | Forró/Piseiro        | 2018  
Paixão Errada - Ao Vivo                  | Dorgival Dantas, Jorge & Mat   | Sertanejo            | 2014  
Paixão Errada - Ao Vivo                  | Dorgival Dantas, Jorge & Mat   | Sertanejo            | 2014  
Quanto Custa?                            | Dorgival Dantas, Léo Santana   | Forró/Piseiro        | 2018  
Figurinha - Ao Vivo                      | Douglas & Vinicius,            | Sertanejo            | 2024  
Savior                                   | Dove Cameron                   | Música               | 2017  
Fuck You                                 | Dr. Dre, Devin The Dude, Sno   | Hip-Hop/Rap          | 2002  
Forgot About Dre                         | Dr. Dre, Eminem                | Hip-Hop/Rap          | 1999  
What's The Difference                    | Dr. Dre, Eminem, Xzibit        | Hip-Hop/Rap          | 1999  
Bang Bang                                | Dr. Dre, Hittman, Knoc-Turn'   | Rap                  | 1999  
Nuthin' But A "G" Thang                  | Dr. Dre, Snoop Dogg            | Hip-Hop/Rap          | 2016  
Still D.R.E.                             | Dr. Dre, Snoop Dogg            | Hip-Hop/Rap          | 1999  
The Next Episode                         | Dr. Dre, Snoop Dogg            | Hip-Hop/Rap          | 1999  
ETA (with Snoop Dogg, Busta Rhymes & A   | Dr. Dre, Snoop Dogg, Busta R   | Hip-Hop/Rap          | 2022  
Do Not Disturb                           | Drake                          | Hip-Hop/Rap          | 2017  
Energy                                   | Drake                          | Hip-Hop/Rap          | 2015  
Forever                                  | Drake                          | Hip-Hop/Rap          | 2009  
Fuck Me Mean                             | Drake                          | Hip-Hop/Rap          | 2006  
God's Plan                               | Drake                          | Hip-Hop/Rap          | 2018  
God's Plan                               | Drake                          | Hip-Hop/Rap          | 2018  
Going Bad                                | Drake                          | Hip-Hop/Rap          | 2018  
Hotline Bling                            | Drake                          | Hip-Hop/Rap          | 2015  
Hotline Bling                            | Drake                          | Hip-Hop/Rap          | 2015  
In My Feelings                           | Drake                          | Hip-Hop/Rap          | 2018  
